Ffurf safonol,Ffurf safonol arall ,Ffurf Saesneg,Cyfeirnod grid,Math (Cymraeg),Math (Saesneg),Awdurdod lleol (Cymraeg),Awdurdod lleol (Saesneg)
Abaty Cwm-hir,,Abbey Cwm-hir,SO0571,Anheddiad,,Powys,Powys
Aberaeron,,Aberaeron,SN4562,Anheddiad,,Ceredigion,Ceredigion
Aberafan,,Aberafan,SS7590,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Aberaman,,Aberaman,SO0101,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Aberangell,,Aberangell,SH8410,Anheddiad,,Gwynedd,Gwynedd
Aber-arth,,Aber-arth,SN4763,Anheddiad,,Ceredigion,Ceredigion
Aber-bach,,Little Haven,SM8512,Anheddiad,,Sir Benfro,Pembrokeshire
Aber-banc,,Aber-banc,SN3541,Anheddiad,,Ceredigion,Ceredigion
Aberbargod,Aberbargoed,Aberbargoed,SO1500,Anheddiad,,Caerffili,Caerphilly
Aberbechan,,Aberbechan,SO1394,Anheddiad,,Powys,Powys
Aberbîg,,Aberbeeg,SO2101,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Aberbowlan,,Aberbowlan,SN6938,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Aberbrân,,Aberbrân,SN9829,Anheddiad,,Powys,Powys
Abercannaid,,Abercannaid,SO0503,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Aber-carn,,Aber-carn,ST2194,Anheddiad,,Caerffili,Caerphilly
Abercastell,,Abercastell,SM8533,Anheddiad,,Sir Benfro,Pembrokeshire
Abercegyr,,Abercegyr,SH8001,Anheddiad,,Powys,Powys
Aberchwiler,,Aberwheeler,SJ0969,Anheddiad,,Sir Ddinbych,Denbighshire
Aberclydach,,Aberclydach,SN6801,Anheddiad,,Abertawe,Swansea
Aberclydach,,Aberclydach,SO1021,Anheddiad,,Powys,Powys
Aber-craf,,Abercrave,SN8112,Anheddiad,,Powys,Powys
Abercregan,,Abercregan,SS8496,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Aber-cuch,,Aber-cuch,SN2440,Anheddiad,,Sir Benfro,Pembrokeshire
Abercwmboi,,Abercwmboi,ST0299,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Abercynffig,,Aberkenfig,SS8983,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Abercynon,,Abercynon,ST0895,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Abercywarch,,Abercywarch,SH8615,Anheddiad,,Gwynedd,Gwynedd
Aberdâr,,Aberdare,SO0002,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Aberdaron,,Aberdaron,SH1726,Anheddiad,,Gwynedd,Gwynedd
Aberdaugleddau,,Milford Haven,SM9005,Anheddiad,,Sir Benfro,Pembrokeshire
Aberddawan,,Aberthaw,ST0366,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Aberdesach,,Aberdesach,SH4251,Anheddiad,,Gwynedd,Gwynedd
Aberduar,,Aberduar,SN5244,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Aberdulais,,Aberdulais,SS7799,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Aberdyfi,,Aberdyfi,SN6196,Anheddiad,,Gwynedd,Gwynedd
Aberedw,,Aberedw,SO0747,Anheddiad,,Powys,Powys
Abereiddi,,Abereiddi,SM7931,Anheddiad,,Sir Benfro,Pembrokeshire
Aber-erch,Berch,Aber-erch,SH3936,Anheddiad,,Gwynedd,Gwynedd
Aberfan,,Aberfan,SO0700,Anheddiad,,Merthyr Tudful,Merthyr Tydfil
Aber-ffrwd,,Aber-ffrwd,SO3509,Ardal,,Sir Fynwy,Monmouthshire
Aber-ffrwd,,Aber-ffrwd,SN6878,Anheddiad,,Ceredigion,Ceredigion
Abergarw,,Abergarw,SS9084,Anheddiad,,Pen-y-bont ar Ogwr,Bridgend
Abergarwed,,Abergarwed,SN8102,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Abergeirw,,Abergeirw,SH7628,Anheddiad,,Gwynedd,Gwynedd
Abergele,,Abergele,SH9477,Anheddiad,,Conwy,Conwy
Abergiâr,,Abergiâr,SN5041,Ardal,,Sir Gaerfyrddin,Carmarthenshire
Aberglaslyn,,Aberglaslyn,SH5945,Nodwedd o waith dyn,,Gwynedd,Gwynedd
Aberglasne,,Aberglasney,SN5822,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Abergorci,,Abergorci,SS9597,Ardal,,Rhondda Cynon Taf,Rhondda Cynon Taf
Abergorlech,,Abergorlech,SN5833,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Abergwaun,,Fishguard,SM9537,Anheddiad,,Sir Benfro,Pembrokeshire
Abergwesyn,,Abergwesyn,SN8552,Anheddiad,,Powys,Powys
Abergwidol,,Abergwidol,SH7902,Nodwedd o waith dyn,,Powys,Powys
Abergwili,,Abergwili,SN4321,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Abergwynfi,,Abergwynfi,SS8996,Anheddiad,,Castell-nedd Port Talbot,Neath Port Talbot
Abergwyngregyn,,Abergwyngregyn,SH6572,Anheddiad,,Gwynedd,Gwynedd
Abergynolwyn,,Abergynolwyn,SH6707,Anheddiad,,Gwynedd,Gwynedd
Aberhafesb,,Aberhafesb,SO0692,Anheddiad,,Powys,Powys
Aberhalen,,Aberhalen,SN3340,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Aberhonddu,,Brecon,SO0428,Anheddiad,,Powys,Powys
Aberhosan,,Aberhosan,SN8097,Anheddiad,,Powys,Powys
Aber-lash,,Aber-lash,SN6213,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Aberllefenni,,Aberllefenni,SH7610,Anheddiad,,Gwynedd,Gwynedd
Aberllolwyn,,Aberllolwyn,SN5877,Nodwedd o waith dyn,,Ceredigion,Ceredigion
Aberllydan,,Broad Haven,SM8613,Anheddiad,,Sir Benfro,Pembrokeshire
Aberllynfi,,Three Cocks,SO1737,Anheddiad,,Powys,Powys
Aber-mad,,Aber-mad,SN6076,Nodwedd o waith dyn,,Ceredigion,Ceredigion
Abermagwr,,Abermagwr,SN6673,Anheddiad,,Ceredigion,Ceredigion
Abermeurig,,Abermeurig,SN5656,Ardal,,Ceredigion,Ceredigion
Aber-miwl,,Abermule,SO1694,Anheddiad,,Powys,Powys
Abermor-ddu,,Abermor-ddu,SJ3056,Anheddiad,,Sir y Fflint,Flintshire
Aber-nant,,Aber-nant,SO1797,Anheddiad,,Powys,Powys
Aber-nant,,Aber-nant,SN3423,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Aber-nant,,Aber-nant,SO0003,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Aber-oer,,Aber-oer,SJ2849,Anheddiad,,Wrecsam,Wrexham
Aberogwr,,Ogmore-by-sea,SS8675,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Aberpennar,,Mountain Ash,ST0499,Anheddiad,,Rhondda Cynon Taf,Rhondda Cynon Taf
Aber-porth,,Aber-porth,SN2651,Anheddiad,,Ceredigion,Ceredigion
Aber-pwll,,Aber-pwll,SH5368,Ardal,,Gwynedd,Gwynedd
Aberriw,,Berriew,SJ1800,Anheddiad,,Powys,Powys
Abersoch,,Abersoch,SH3128,Anheddiad,,Gwynedd,Gwynedd
Abersychan,,Abersychan,SO2604,Anheddiad,,Torfaen,Torfaen
Abertawe,,Swansea,SS6592,Anheddiad,,Abertawe,Swansea
Aberteifi,,Cardigan,SN1746,Anheddiad,,Ceredigion,Ceredigion
Aberthin,,Aberthin,ST0075,Anheddiad,,Bro Morgannwg,Vale of Glamorgan
Abertridwr,,Abertridwr,SJ0319,Anheddiad,,Powys,Powys
Abertridwr,,Abertridwr,ST1289,Anheddiad,,Caerffili,Caerphilly
Abertrinant,,Abertrinant,SH6405,Anheddiad,,Gwynedd,Gwynedd
Abertyleri,,Abertillery,SO2104,Anheddiad,,Blaenau Gwent,Blaenau Gwent
Abertyswg,,Abertyswg,SO1305,Anheddiad,,Caerffili,Caerphilly
Aberysgir,,Aberysgir,SN9929,Anheddiad,,Powys,Powys
Aberystwyth,,Aberystwyth,SN5881,Anheddiad,,Ceredigion,Ceredigion
Achddu,,Achddu,SN4401,Anheddiad,,Sir Gaerfyrddin,Carmarthenshire
Acre-fair,,Acre-fair,SJ2742,Anheddiad,,Wrecsam,Wrexham
Acstyn,,Axton,SJ1080,Anheddiad,,Sir y Fflint,Flintshire
Adamsdown,,Adamsdown,ST1976,Anheddiad,,Caerdydd,Cardiff
Adfa,,Adfa,SJ0501,Anheddiad,,Powys,Powys
Afon Aeron,,Afon Aeron,SN5257,Nodwedd dŵr,,Ceredigion,Ceredigion
Afon Afan,,Afon Afan,SS8295,Nodwedd dŵr,,Castell-nedd Port Talbot,Neath Port Talbot
Afoneitha,,Afoneitha,SJ2945,Anheddiad,,Wrecsam,Wrexham
Afon-wen,,Afon-wen,SH4337,Anheddiad,,Gwynedd,Gwynedd
Afon-wen,,Afon-wen,SJ1371,Anheddiad,,Sir y Fflint,Flintshire
